sdg,cosine_similarity,abs_cosine_similarity,classifier_available
1,0.405092,0.405092,True
2,0.504922,0.504922,True
3,0.533559,0.533559,True
4,0.475634,0.475634,True
5,0.45864,0.45864,True
6,0.540406,0.540406,True
7,0.538912,0.538912,True
8,0.496589,0.496589,True
9,0.513811,0.513811,True
10,0.498139,0.498139,True
11,0.456687,0.456687,True
12,0.516614,0.516614,True
13,0.512094,0.512094,True
14,0.579519,0.579519,True
15,0.540312,0.540312,True
16,0.222536,0.222536,True
17,0.536797,0.536797,True
