sdg,cosine_similarity,abs_cosine_similarity
1,0.347191,0.347191
2,0.37782,0.37782
3,0.380694,0.380694
4,0.34685,0.34685
5,0.335304,0.335304
6,0.39259,0.39259
7,0.373958,0.373958
8,0.408994,0.408994
9,0.408383,0.408383
10,0.344599,0.344599
11,0.411248,0.411248
12,0.385698,0.385698
13,0.381817,0.381817
14,0.381777,0.381777
15,0.390085,0.390085
16,0.239742,0.239742
17,0.417252,0.417252
