sdg,cosine_similarity,abs_cosine_similarity,classifier_available
1,0.446384,0.446384,True
2,0.553664,0.553664,True
3,0.494478,0.494478,True
4,0.454316,0.454316,True
5,0.469348,0.469348,True
6,0.595917,0.595917,True
7,0.570983,0.570983,True
8,0.478566,0.478566,True
9,0.528363,0.528363,True
10,0.548137,0.548137,True
11,0.446911,0.446911,True
12,0.504467,0.504467,True
13,0.541672,0.541672,True
14,0.578651,0.578651,True
15,0.522418,0.522418,True
16,0.27046,0.27046,True
17,0.519284,0.519284,True
