sdg,cosine_similarity,abs_cosine_similarity
1,0.357572,0.357572
2,0.364177,0.364177
3,0.38329,0.38329
4,0.330628,0.330628
5,0.347828,0.347828
6,0.379315,0.379315
7,0.377886,0.377886
8,0.404276,0.404276
9,0.393995,0.393995
10,0.352994,0.352994
11,0.397134,0.397134
12,0.362889,0.362889
13,0.375223,0.375223
14,0.370908,0.370908
15,0.374409,0.374409
16,0.236528,0.236528
17,0.417156,0.417156
