fold,heldout_sdgs,train_sdgs,train_per_class,test_per_class,selected_C,val_roc_auc,val_f1,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,test_confusion_matrix
1,"1,6,11,16","2,3,4,5,7,8,9,10,12,13,14,15,17",42502,11580,10.0,0.997849,0.980778,0.976036,0.997055,0.976072,0.974602,0.977547,"[[11285, 295], [260, 11320]]"
2,"2,7,12,17","1,3,4,5,6,8,9,10,11,13,14,15,16",39207,14875,10.0,0.997947,0.979948,0.984773,0.998343,0.984857,0.979455,0.990319,"[[14566, 309], [144, 14731]]"
3,"3,8,13","1,2,4,5,6,7,9,10,11,12,14,15,16,17",42506,11576,10.0,0.998076,0.981172,0.976978,0.997291,0.977037,0.97456,0.979527,"[[11280, 296], [237, 11339]]"
4,"4,9,14","1,2,3,5,6,7,8,10,11,12,13,15,16,17",44578,9504,10.0,0.998428,0.984185,0.967066,0.995393,0.966528,0.982605,0.950968,"[[9344, 160], [466, 9038]]"
5,"5,10,15","1,2,3,4,6,7,8,9,11,12,13,14,16,17",47535,6547,10.0,0.997865,0.980773,0.981824,0.997777,0.98186,0.979918,0.983809,"[[6415, 132], [106, 6441]]"
