k,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,mean_adjusted_gap,mean_delta_vs_raw,top_adjusted_sdgs
1,0.968667,0.995839,0.968719,0.96711,0.970333,0.389471,-0.025682,"17,13,10,6,14"
2,0.954,0.990054,0.953985,0.954303,0.953667,0.36709,-0.048063,"17,13,10,6,14"
3,0.938833,0.983441,0.938966,0.93694,0.941,0.351371,-0.063782,"17,13,10,6,14"
5,0.908,0.96391,0.908397,0.904494,0.912333,0.325797,-0.089356,"17,13,10,6,14"
