sdg,cosine_similarity,abs_cosine_similarity
1,0.366529,0.366529
2,0.38261,0.38261
3,0.387537,0.387537
4,0.346988,0.346988
5,0.349125,0.349125
6,0.404082,0.404082
7,0.378947,0.378947
8,0.415725,0.415725
9,0.413238,0.413238
10,0.360342,0.360342
11,0.426535,0.426535
12,0.387312,0.387312
13,0.384896,0.384896
14,0.386947,0.386947
15,0.392568,0.392568
16,0.252025,0.252025
17,0.415077,0.415077
