variant,temperature,sdg,research_weighted_mass,policy_weighted_mass,semantic_gap_cosine_distance_384d,hard_semantic_gap_if_available,difference_from_hard_if_available
corpus_calibrated_softmax,0.03,1,57532.867563,632.049561,0.503743,0.419586,0.084157
corpus_calibrated_softmax,0.03,2,101337.386374,940.11792,0.360705,0.345234,0.015471
corpus_calibrated_softmax,0.03,3,512869.88797,1944.382446,0.444054,0.451921,-0.007867
corpus_calibrated_softmax,0.03,4,312332.382556,1679.250854,0.290213,0.263373,0.02684
corpus_calibrated_softmax,0.03,5,93801.830751,1476.356689,0.302095,0.237906,0.064189
corpus_calibrated_softmax,0.03,6,74974.297638,841.947632,0.437006,0.433416,0.00359
corpus_calibrated_softmax,0.03,7,258806.773901,1270.663818,0.563787,0.521503,0.042284
corpus_calibrated_softmax,0.03,8,69480.163464,925.28064,0.339011,0.250727,0.088284
corpus_calibrated_softmax,0.03,9,180221.545946,2080.233398,0.223141,0.258445,-0.035304
corpus_calibrated_softmax,0.03,10,57711.878693,451.674927,0.503036,0.349812,0.153224
corpus_calibrated_softmax,0.03,11,150000.089879,1447.42627,0.454894,0.47858,-0.023686
corpus_calibrated_softmax,0.03,12,93053.92089,777.052979,0.41256,0.408311,0.004249
corpus_calibrated_softmax,0.03,13,58344.550566,1940.973633,0.43934,0.406324,0.033016
corpus_calibrated_softmax,0.03,14,126165.399727,1109.055298,0.468612,0.439746,0.028866
corpus_calibrated_softmax,0.03,15,123965.568884,1148.045898,0.391657,0.334238,0.057419
corpus_calibrated_softmax,0.03,16,240328.077083,4207.50293,0.442084,0.280726,0.161358
corpus_calibrated_softmax,0.03,17,32749.481714,1272.830811,0.283383,0.51809,-0.234707
corpus_calibrated_softmax,0.05,1,58023.185884,634.944885,0.502292,0.419586,0.082706
corpus_calibrated_softmax,0.05,2,102133.543448,942.113098,0.363005,0.345234,0.017771
corpus_calibrated_softmax,0.05,3,509104.642876,1941.243286,0.442915,0.451921,-0.009006
corpus_calibrated_softmax,0.05,4,311825.148664,1681.782959,0.290156,0.263373,0.026783
corpus_calibrated_softmax,0.05,5,95175.987163,1478.371826,0.305279,0.237906,0.067373
corpus_calibrated_softmax,0.05,6,75701.308128,843.812012,0.438946,0.433416,0.00553
corpus_calibrated_softmax,0.05,7,257217.916101,1274.919678,0.562507,0.521503,0.041004
corpus_calibrated_softmax,0.05,8,70532.522954,925.631836,0.342447,0.250727,0.09172
corpus_calibrated_softmax,0.05,9,179415.254332,2078.206299,0.222896,0.258445,-0.035549
