subset,subset_label,n,ml_only_n,education_only_n,both_n,neither_unclear_n,ml_only_pct,education_only_pct,both_pct,neither_unclear_pct
sdg4_assigned,SDG 4-assigned research,413414,62012,178479,105334,67589,15.0,43.172,25.479,16.349
non_sdg4_sample,Non-SDG4 research sample,413414,230528,17873,14157,150856,55.762,4.323,3.424,36.49
sdg9_assigned,SDG 9-assigned research,621237,421237,15360,22539,162101,67.806,2.472,3.628,26.093
