fold,heldout_sdgs,train_sdgs,train_per_class,test_per_class,selected_C,val_roc_auc,val_f1,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,test_confusion_matrix
1,"1,6,11,16","2,3,4,5,7,8,9,10,12,13,14,15,17",41798,12284,10.0,0.998173,0.980811,0.975659,0.996822,0.975717,0.973424,0.97802,"[[11956, 328], [270, 12014]]"
2,"2,7,12,17","1,3,4,5,6,8,9,10,11,13,14,15,16",40053,14029,10.0,0.997735,0.978507,0.985708,0.998466,0.985793,0.979994,0.99166,"[[13745, 284], [117, 13912]]"
3,"3,8,13","1,2,4,5,6,7,9,10,11,12,14,15,16,17",42454,11628,10.0,0.998143,0.982245,0.975705,0.996729,0.975765,0.973385,0.978156,"[[11317, 311], [254, 11374]]"
4,"4,9,14","1,2,3,5,6,7,8,10,11,12,13,15,16,17",44663,9419,10.0,0.998133,0.982948,0.966557,0.995132,0.966019,0.9818,0.950738,"[[9253, 166], [464, 8955]]"
5,"5,10,15","1,2,3,4,6,7,8,9,11,12,13,14,16,17",47360,6722,10.0,0.998048,0.980631,0.982074,0.997934,0.982115,0.979861,0.98438,"[[6586, 136], [105, 6617]]"
