sdg,cosine_similarity,abs_cosine_similarity,classifier_available
1,0.445744,0.445744,True
2,0.550925,0.550925,True
3,0.564923,0.564923,True
4,0.493252,0.493252,True
5,0.486375,0.486375,True
6,0.585966,0.585966,True
7,0.593727,0.593727,True
8,0.491653,0.491653,True
9,0.545442,0.545442,True
10,0.542955,0.542955,True
11,0.479961,0.479961,True
12,0.527471,0.527471,True
13,0.562991,0.562991,True
14,0.596061,0.596061,True
15,0.57285,0.57285,True
16,0.270171,0.270171,True
17,0.528318,0.528318,True
