sdg,cosine_similarity,abs_cosine_similarity
1,0.381841,0.381841
2,0.414628,0.414628
3,0.453459,0.453459
4,0.388676,0.388676
5,0.367555,0.367555
6,0.431823,0.431823
7,0.409625,0.409625
8,0.443364,0.443364
9,0.442404,0.442404
10,0.381,0.381
11,0.462852,0.462852
12,0.430178,0.430178
13,0.425364,0.425364
14,0.411407,0.411407
15,0.432507,0.432507
16,0.269437,0.269437
17,0.443677,0.443677
