variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.1,policy,4,60.282367,0.024545,0.002036,0.022509
raw_softmax,0.1,research,5,111037.445841,0.043652,0.022897,0.020755
raw_softmax,0.1,policy,5,107.240634,0.043665,0.011401,0.032264
raw_softmax,0.1,research,6,147179.370897,0.05786,0.040331,0.017529
raw_softmax,0.1,policy,6,96.707671,0.039376,0.003664,0.035712
raw_softmax,0.1,research,7,160760.971786,0.0632,0.08369,-0.02049
raw_softmax,0.1,policy,7,104.896397,0.04271,0.004072,0.038638
raw_softmax,0.1,research,8,121312.318582,0.047691,0.014762,0.032929
raw_softmax,0.1,policy,8,68.724822,0.027982,0.00285,0.025132
raw_softmax,0.1,research,9,186255.059612,0.073222,0.102461,-0.029239
raw_softmax,0.1,policy,9,114.223802,0.046508,0.023616,0.022892
raw_softmax,0.1,research,10,91409.964113,0.035936,0.009385,0.026551
raw_softmax,0.1,policy,10,57.636504,0.023468,0.0,0.023468
raw_softmax,0.1,research,11,147764.728232,0.058091,0.054506,0.003585
raw_softmax,0.1,policy,11,99.111653,0.040355,0.027687,0.012668
raw_softmax,0.1,research,12,147287.494388,0.057903,0.037263,0.02064
raw_softmax,0.1,policy,12,101.622865,0.041377,0.002443,0.038934
raw_softmax,0.1,research,13,163045.059803,0.064098,0.052316,0.011782
raw_softmax,0.1,policy,13,445.602393,0.181434,0.354642,-0.173208
raw_softmax,0.1,research,14,135213.805191,0.053156,0.03884,0.014316
raw_softmax,0.1,policy,14,73.1149,0.02977,0.001221,0.028549
raw_softmax,0.1,research,15,170408.635841,0.066992,0.074239,-0.007247
raw_softmax,0.1,policy,15,140.490208,0.057203,0.008143,0.04906
raw_softmax,0.1,research,16,153039.582705,0.060164,0.084023,-0.023859
raw_softmax,0.1,policy,16,348.474385,0.141887,0.197476,-0.055589
raw_softmax,0.1,research,17,152557.426318,0.059975,0.027271,0.032704
raw_softmax,0.1,policy,17,404.71437,0.164786,0.344463,-0.179677
raw_softmax,0.2,research,1,127699.003984,0.050202,0.006905,0.043297
raw_softmax,0.2,policy,1,113.327919,0.046143,0.008958,0.037185
raw_softmax,0.2,research,2,143859.710207,0.056555,0.034102,0.022453
raw_softmax,0.2,policy,2,121.596584,0.04951,0.003664,0.045846
raw_softmax,0.2,research,3,159374.412958,0.062655,0.178626,-0.115971
raw_softmax,0.2,policy,3,95.756417,0.038989,0.003664,0.035325
raw_softmax,0.2,research,4,172902.03193,0.067973,0.138383,-0.07041
raw_softmax,0.2,policy,4,92.219695,0.037549,0.002036,0.035513
raw_softmax,0.2,research,5,129525.431571,0.05092,0.022897,0.028023
raw_softmax,0.2,policy,5,121.278453,0.04938,0.011401,0.037979
raw_softmax,0.2,research,6,151412.839645,0.059525,0.040331,0.019194
raw_softmax,0.2,policy,6,130.568345,0.053163,0.003664,0.049499
raw_softmax,0.2,research,7,153743.113176,0.060441,0.08369,-0.023249
raw_softmax,0.2,policy,7,132.649521,0.05401,0.004072,0.049938
raw_softmax,0.2,research,8,139995.806715,0.055036,0.014762,0.040274
raw_softmax,0.2,policy,8,106.653166,0.043426,0.00285,0.040576
raw_softmax,0.2,research,9,169651.890953,0.066695,0.102461,-0.035766
raw_softmax,0.2,policy,9,138.245378,0.056289,0.023616,0.032673
raw_softmax,0.2,research,10,120245.409267,0.047272,0.009385,0.037887
raw_softmax,0.2,policy,10,97.844089,0.039839,0.0,0.039839
raw_softmax,0.2,research,11,151739.155298,0.059653,0.054506,0.005147
raw_softmax,0.2,policy,11,132.531422,0.053962,0.027687,0.026275
raw_softmax,0.2,research,12,153157.278288,0.06021,0.037263,0.022947
raw_softmax,0.2,policy,12,134.440197,0.054739,0.002443,0.052296
raw_softmax,0.2,research,13,162547.705143,0.063902,0.052316,0.011586
raw_softmax,0.2,policy,13,279.983762,0.114,0.354642,-0.240642
raw_softmax,0.2,research,14,143734.51445,0.056506,0.03884,0.017666
raw_softmax,0.2,policy,14,108.356265,0.044119,0.001221,0.042898
raw_softmax,0.2,research,15,160769.261814,0.063203,0.074239,-0.011036
raw_softmax,0.2,policy,15,157.113265,0.063971,0.008143,0.055828
raw_softmax,0.2,research,16,144018.305517,0.056618,0.084023,-0.027405
raw_softmax,0.2,policy,16,220.60269,0.089822,0.197476,-0.107654
raw_softmax,0.2,research,17,159321.854299,0.062634,0.027271,0.035363
raw_softmax,0.2,policy,17,272.832604,0.111088,0.344463,-0.233375
corpus_calibrated_softmax,0.03,research,1,45911.495047,0.018049,0.006905,0.011144
corpus_calibrated_softmax,0.03,policy,1,39.386452,0.016037,0.008958,0.007079
corpus_calibrated_softmax,0.03,research,2,103506.157392,0.040691,0.034102,0.006589
corpus_calibrated_softmax,0.03,policy,2,57.89683,0.023574,0.003664,0.01991
corpus_calibrated_softmax,0.03,research,3,451679.445023,0.177568,0.178626,-0.001058
corpus_calibrated_softmax,0.03,policy,3,74.430274,0.030305,0.003664,0.026641
corpus_calibrated_softmax,0.03,research,4,293481.648829,0.115376,0.138383,-0.023007
