n_layers,hidden_size,lr,weight_decay,dropout,mean_f1,std_f1
4,384,0.001,0,0.3,0.6922,0.0040
4,256,0.001,0,0.3,0.6899,0.0033
8,384,0.001,0,0.3,0.6770,0.0062
8,256,0.001,0,0.3,0.6712,0.0051
16,384,0.001,0,0.3,0.6494,0.0049
16,256,0.001,0,0.3,0.6322,0.0136
