variant,temperature,sdg,research_weighted_mass,policy_weighted_mass,semantic_gap_cosine_distance_384d,hard_semantic_gap_if_available,difference_from_hard_if_available
raw_softmax,0.03,1,38340.854977,995.387329,0.492136,0.317789,0.174347
raw_softmax,0.03,2,101268.498603,832.431946,0.404463,0.325858,0.078605
raw_softmax,0.03,3,365994.50724,1548.786499,0.408255,0.437361,-0.029106
raw_softmax,0.03,4,342838.87746,1221.872437,0.291756,0.285634,0.006122
raw_softmax,0.03,5,69609.397028,1468.382324,0.28573,0.251523,0.034207
raw_softmax,0.03,6,120679.745087,864.714539,0.542508,0.509269,0.033239
raw_softmax,0.03,7,194793.380083,1022.656006,0.486668,0.497785,-0.011117
raw_softmax,0.03,8,62638.54613,915.915955,0.397403,0.279997,0.117406
raw_softmax,0.03,9,233706.883816,1838.428345,0.219169,0.220248,-0.001079
raw_softmax,0.03,10,36716.978079,327.759094,0.637868,0.500903,0.136965
raw_softmax,0.03,11,140439.030463,1265.154785,0.461894,0.456967,0.004927
raw_softmax,0.03,12,112556.09299,889.301025,0.4787,0.428023,0.050677
raw_softmax,0.03,13,138429.286514,3273.006592,0.562856,0.536124,0.026732
raw_softmax,0.03,14,110387.084942,747.552368,0.542628,0.483881,0.058747
raw_softmax,0.03,15,186619.356465,993.065918,0.478621,0.463841,0.01478
raw_softmax,0.03,16,191543.440377,2067.213135,0.363754,0.35578,0.007974
raw_softmax,0.03,17,97052.331441,3876.01123,0.621086,0.658918,-0.037832
raw_softmax,0.05,1,60968.364225,1056.806641,0.572689,0.317789,0.2549
raw_softmax,0.05,2,113166.733506,876.944397,0.474234,0.325858,0.148376
raw_softmax,0.05,3,285823.796227,1455.164062,0.399708,0.437361,-0.037653
raw_softmax,0.05,4,317537.844101,1167.651855,0.296685,0.285634,0.011051
raw_softmax,0.05,5,84430.074532,1439.471924,0.343829,0.251523,0.092306
raw_softmax,0.05,6,133355.794816,956.747314,0.56379,0.509269,0.054521
raw_softmax,0.05,7,179585.303943,1068.48999,0.497741,0.497785,-4.4e-05
raw_softmax,0.05,8,85329.937141,984.025574,0.470359,0.279997,0.190362
raw_softmax,0.05,9,211819.69046,1696.345215,0.250435,0.220248,0.030187
raw_softmax,0.05,10,54632.011386,494.600647,0.666288,0.500903,0.165385
raw_softmax,0.05,11,141455.800354,1292.829956,0.476585,0.456967,0.019618
raw_softmax,0.05,12,127699.02752,1054.432861,0.514435,0.428023,0.086412
raw_softmax,0.05,13,149000.715257,3173.356445,0.575118,0.536124,0.038994
raw_softmax,0.05,14,120464.956477,787.583191,0.572814,0.483881,0.088933
raw_softmax,0.05,15,181546.105433,1114.140625,0.501179,0.463841,0.037338
raw_softmax,0.05,16,174906.898685,1930.551392,0.366964,0.35578,0.011184
raw_softmax,0.05,17,121968.749536,3596.168945,0.602796,0.658918,-0.056122
raw_softmax,0.1,1,101204.414547,1244.81958,0.592069,0.317789,0.27428
raw_softmax,0.1,2,132099.115565,1089.96228,0.559885,0.325858,0.234027
raw_softmax,0.1,3,192238.167969,1243.390747,0.467618,0.437361,0.030257
raw_softmax,0.1,4,230885.078853,1061.427979,0.354459,0.285634,0.068825
raw_softmax,0.1,5,111037.445841,1313.515137,0.478886,0.251523,0.227363
raw_softmax,0.1,6,147179.370897,1189.937012,0.589074,0.509269,0.079805
raw_softmax,0.1,7,160760.971786,1201.38562,0.555016,0.497785,0.057231
