variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.1,policy,4,55.95481,0.022783,0.002036,0.020747
raw_softmax,0.1,research,5,111037.445841,0.043652,0.022897,0.020755
raw_softmax,0.1,policy,5,97.015756,0.039502,0.011401,0.028101
raw_softmax,0.1,research,6,147179.370897,0.05786,0.040331,0.017529
raw_softmax,0.1,policy,6,91.620058,0.037305,0.003664,0.033641
raw_softmax,0.1,research,7,160760.971786,0.0632,0.08369,-0.02049
raw_softmax,0.1,policy,7,94.754567,0.038581,0.004072,0.034509
raw_softmax,0.1,research,8,121312.318582,0.047691,0.014762,0.032929
raw_softmax,0.1,policy,8,74.551187,0.030355,0.00285,0.027505
raw_softmax,0.1,research,9,186255.059612,0.073222,0.102461,-0.029239
raw_softmax,0.1,policy,9,105.417936,0.042923,0.023616,0.019307
raw_softmax,0.1,research,10,91409.964113,0.035936,0.009385,0.026551
raw_softmax,0.1,policy,10,67.110819,0.027325,0.0,0.027325
raw_softmax,0.1,research,11,147764.728232,0.058091,0.054506,0.003585
raw_softmax,0.1,policy,11,96.718138,0.03938,0.027687,0.011693
raw_softmax,0.1,research,12,147287.494388,0.057903,0.037263,0.02064
raw_softmax,0.1,policy,12,107.263919,0.043674,0.002443,0.041231
raw_softmax,0.1,research,13,163045.059803,0.064098,0.052316,0.011782
raw_softmax,0.1,policy,13,416.923286,0.169757,0.354642,-0.184885
raw_softmax,0.1,research,14,135213.805191,0.053156,0.03884,0.014316
raw_softmax,0.1,policy,14,85.537375,0.034828,0.001221,0.033607
raw_softmax,0.1,research,15,170408.635841,0.066992,0.074239,-0.007247
raw_softmax,0.1,policy,15,132.332442,0.053881,0.008143,0.045738
raw_softmax,0.1,research,16,153039.582705,0.060164,0.084023,-0.023859
raw_softmax,0.1,policy,16,322.902604,0.131475,0.197476,-0.066001
raw_softmax,0.1,research,17,152557.426318,0.059975,0.027271,0.032704
raw_softmax,0.1,policy,17,454.362494,0.185001,0.344463,-0.159462
raw_softmax,0.2,research,1,127699.003984,0.050202,0.006905,0.043297
raw_softmax,0.2,policy,1,126.183628,0.051378,0.008958,0.04242
raw_softmax,0.2,research,2,143859.710207,0.056555,0.034102,0.022453
raw_softmax,0.2,policy,2,120.22985,0.048954,0.003664,0.04529
raw_softmax,0.2,research,3,159374.412958,0.062655,0.178626,-0.115971
raw_softmax,0.2,policy,3,98.75848,0.040211,0.003664,0.036547
raw_softmax,0.2,research,4,172902.03193,0.067973,0.138383,-0.07041
raw_softmax,0.2,policy,4,87.855482,0.035772,0.002036,0.033736
raw_softmax,0.2,research,5,129525.431571,0.05092,0.022897,0.028023
raw_softmax,0.2,policy,5,113.698613,0.046294,0.011401,0.034893
raw_softmax,0.2,research,6,151412.839645,0.059525,0.040331,0.019194
raw_softmax,0.2,policy,6,126.288068,0.05142,0.003664,0.047756
raw_softmax,0.2,research,7,153743.113176,0.060441,0.08369,-0.023249
raw_softmax,0.2,policy,7,124.251906,0.050591,0.004072,0.046519
