fold,heldout_sdgs,train_sdgs,train_per_class,test_per_class,selected_C,val_roc_auc,val_f1,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,test_confusion_matrix
1,"1,6,11,16","2,3,4,5,7,8,9,10,12,13,14,15,17",42554,11528,10.0,0.997427,0.980585,0.976882,0.997184,0.976947,0.974209,0.979702,"[[11229, 299], [234, 11294]]"
2,"2,7,12,17","1,3,4,5,6,8,9,10,11,13,14,15,16",39038,15044,10.0,0.997398,0.978223,0.985476,0.998442,0.98556,0.979894,0.991292,"[[14738, 306], [131, 14913]]"
3,"3,8,13","1,2,4,5,6,7,9,10,11,12,14,15,16,17",42594,11488,10.0,0.997866,0.980079,0.976367,0.997148,0.97639,0.975415,0.977368,"[[11205, 283], [260, 11228]]"
4,"4,9,14","1,2,3,5,6,7,8,10,11,12,13,15,16,17",44414,9668,10.0,0.998331,0.98374,0.965918,0.995151,0.965314,0.982746,0.94849,"[[9507, 161], [498, 9170]]"
5,"5,10,15","1,2,3,4,6,7,8,9,11,12,13,14,16,17",47728,6354,10.0,0.997875,0.981466,0.981114,0.997698,0.981144,0.979605,0.982688,"[[6224, 130], [110, 6244]]"
