variant,temperature,sdg,research_weighted_mass,policy_weighted_mass,semantic_gap_cosine_distance_384d,hard_semantic_gap_if_available,difference_from_hard_if_available
raw_softmax,0.03,1,38340.854977,978.299866,0.493503,0.32716,0.166343
raw_softmax,0.03,2,101268.498603,824.276428,0.404862,0.334189,0.070673
raw_softmax,0.03,3,365994.50724,1553.157715,0.410539,0.441318,-0.030779
raw_softmax,0.03,4,342838.87746,1235.07251,0.290797,0.285961,0.004836
raw_softmax,0.03,5,69609.397028,1452.459839,0.285799,0.249579,0.03622
raw_softmax,0.03,6,120679.745087,842.155457,0.541983,0.511792,0.030191
raw_softmax,0.03,7,194793.380083,1015.14624,0.486906,0.495355,-0.008449
raw_softmax,0.03,8,62638.54613,935.33606,0.397857,0.295821,0.102036
raw_softmax,0.03,9,233706.883816,1893.305054,0.218749,0.233338,-0.014589
raw_softmax,0.03,10,36716.978079,374.091431,0.648788,0.530335,0.118453
raw_softmax,0.03,11,140439.030463,1222.705566,0.457066,0.453787,0.003279
raw_softmax,0.03,12,112556.09299,850.748291,0.476543,0.429385,0.047158
raw_softmax,0.03,13,138429.286514,3088.969971,0.559131,0.534508,0.024623
raw_softmax,0.03,14,110387.084942,732.922974,0.541258,0.48908,0.052178
raw_softmax,0.03,15,186619.356465,942.932312,0.474958,0.461776,0.013182
raw_softmax,0.03,16,191543.440377,2025.014282,0.363474,0.340377,0.023097
raw_softmax,0.03,17,97052.331441,4182.818359,0.624255,0.657645,-0.03339
raw_softmax,0.05,1,60968.364225,1046.491821,0.573958,0.32716,0.246798
raw_softmax,0.05,2,113166.733506,866.013123,0.474096,0.334189,0.139907
raw_softmax,0.05,3,285823.796227,1465.209473,0.401957,0.441318,-0.039361
raw_softmax,0.05,4,317537.844101,1183.482666,0.295255,0.285961,0.009294
raw_softmax,0.05,5,84430.074532,1424.216797,0.343663,0.249579,0.094084
raw_softmax,0.05,6,133355.794816,919.233276,0.562098,0.511792,0.050306
raw_softmax,0.05,7,179585.303943,1062.559326,0.498192,0.495355,0.002837
raw_softmax,0.05,8,85329.937141,1007.207764,0.469768,0.295821,0.173947
raw_softmax,0.05,9,211819.69046,1765.627441,0.251191,0.233338,0.017853
raw_softmax,0.05,10,54632.011386,555.73291,0.670076,0.530335,0.139741
raw_softmax,0.05,11,141455.800354,1244.618286,0.47099,0.453787,0.017203
raw_softmax,0.05,12,127699.02752,1005.040771,0.511944,0.429385,0.082559
raw_softmax,0.05,13,149000.715257,3013.146973,0.572087,0.534508,0.037579
raw_softmax,0.05,14,120464.956477,762.356567,0.571065,0.48908,0.081985
raw_softmax,0.05,15,181546.105433,1039.568115,0.496122,0.461776,0.034346
raw_softmax,0.05,16,174906.898685,1910.746826,0.367071,0.340377,0.026694
raw_softmax,0.05,17,121968.749536,3874.954834,0.605113,0.657645,-0.052532
raw_softmax,0.1,1,101204.414547,1252.976807,0.592677,0.32716,0.265517
raw_softmax,0.1,2,132099.115565,1077.646729,0.559743,0.334189,0.225554
raw_softmax,0.1,3,192238.167969,1238.622925,0.466042,0.441318,0.024724
raw_softmax,0.1,4,230885.078853,1082.565918,0.351961,0.285961,0.066
raw_softmax,0.1,5,111037.445841,1308.011353,0.478974,0.249579,0.229395
raw_softmax,0.1,6,147179.370897,1139.354858,0.586425,0.511792,0.074633
raw_softmax,0.1,7,160760.971786,1205.553711,0.555303,0.495355,0.059948
