sdg,cosine_similarity,abs_cosine_similarity
1,0.338783,0.338783
2,0.385398,0.385398
3,0.436047,0.436047
4,0.366492,0.366492
5,0.350507,0.350507
6,0.407611,0.407611
7,0.392107,0.392107
8,0.406272,0.406272
9,0.420737,0.420737
10,0.330694,0.330694
11,0.448476,0.448476
12,0.403086,0.403086
13,0.416918,0.416918
14,0.376393,0.376393
15,0.423251,0.423251
16,0.208825,0.208825
17,0.456363,0.456363
