fold,heldout_sdgs,train_sdgs,train_per_class,test_per_class,selected_C,val_roc_auc,val_f1,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,test_confusion_matrix
1,"1,6,11,16","2,3,4,5,7,8,9,10,12,13,14,15,17",35579,11426,10.0,0.998803,0.985526,0.981446,0.997961,0.981443,0.981614,0.981271,"[[11216, 210], [214, 11212]]"
2,"2,7,12,17","1,3,4,5,6,8,9,10,11,13,14,15,16",34462,12543,10.0,0.998549,0.985839,0.987682,0.998817,0.987745,0.982718,0.992825,"[[12324, 219], [90, 12453]]"
3,"3,8,13","1,2,4,5,6,7,9,10,11,12,14,15,16,17",37209,9796,10.0,0.998553,0.983664,0.985096,0.998624,0.985155,0.981264,0.989077,"[[9611, 185], [107, 9689]]"
4,"4,9,14","1,2,3,5,6,7,8,10,11,12,13,15,16,17",40017,6988,10.0,0.998887,0.986561,0.970092,0.9961,0.969431,0.991325,0.948483,"[[6930, 58], [360, 6628]]"
5,"5,10,15","1,2,3,4,6,7,8,9,11,12,13,14,16,17",40753,6252,10.0,0.998561,0.986125,0.984565,0.998586,0.984618,0.981255,0.988004,"[[6134, 118], [75, 6177]]"
