variant,temperature,sdg,research_weighted_mass,policy_weighted_mass,semantic_gap_cosine_distance_384d,hard_semantic_gap_if_available,difference_from_hard_if_available
raw_softmax,0.03,1,33350.068251,978.299866,0.507372,0.252615,0.254757
raw_softmax,0.03,2,99334.04082,824.276428,0.393066,0.324005,0.069061
raw_softmax,0.03,3,386225.63475,1553.157715,0.393078,0.423483,-0.030405
raw_softmax,0.03,4,346531.750583,1235.07251,0.29136,0.286999,0.004361
raw_softmax,0.03,5,64576.976665,1452.459839,0.283663,0.248805,0.034858
raw_softmax,0.03,6,110925.007277,842.155457,0.535861,0.490501,0.04536
raw_softmax,0.03,7,184657.255692,1015.14624,0.49066,0.497171,-0.006511
raw_softmax,0.03,8,63851.649954,935.33606,0.357447,0.268977,0.08847
raw_softmax,0.03,9,224776.311664,1893.305054,0.219377,0.234052,-0.014675
raw_softmax,0.03,10,35584.081538,374.091431,0.545833,0.432173,0.11366
raw_softmax,0.03,11,137529.259517,1222.705566,0.45012,0.446761,0.003359
raw_softmax,0.03,12,111089.292665,850.748291,0.468175,0.424109,0.044066
raw_softmax,0.03,13,133736.873668,3088.969971,0.582257,0.528293,0.053964
raw_softmax,0.03,14,112859.840691,732.922974,0.540823,0.485219,0.055604
raw_softmax,0.03,15,176718.936061,942.932312,0.480909,0.464658,0.016251
raw_softmax,0.03,16,172979.627808,2025.014282,0.3513,0.3228,0.0285
raw_softmax,0.03,17,148892.666426,4182.818359,0.638111,0.671478,-0.033367
raw_softmax,0.05,1,57796.271885,1046.491821,0.586653,0.252615,0.334038
raw_softmax,0.05,2,111909.071489,866.013123,0.464189,0.324005,0.140184
raw_softmax,0.05,3,305451.2873,1465.209473,0.382753,0.423483,-0.04073
raw_softmax,0.05,4,321662.088905,1183.482666,0.295341,0.286999,0.008342
raw_softmax,0.05,5,79217.801172,1424.216797,0.339064,0.248805,0.090259
raw_softmax,0.05,6,125580.597571,919.233276,0.563467,0.490501,0.072966
raw_softmax,0.05,7,172104.062787,1062.559326,0.503187,0.497171,0.006016
raw_softmax,0.05,8,85500.101661,1007.207764,0.436804,0.268977,0.167827
raw_softmax,0.05,9,205655.530817,1765.627441,0.251482,0.234052,0.01743
raw_softmax,0.05,10,55556.733744,555.73291,0.581707,0.432173,0.149534
raw_softmax,0.05,11,138529.45179,1244.618286,0.4656,0.446761,0.018839
raw_softmax,0.05,12,128011.565433,1005.040771,0.503427,0.424109,0.079318
raw_softmax,0.05,13,146315.227972,3013.146973,0.594616,0.528293,0.066323
raw_softmax,0.05,14,123133.241081,762.356567,0.570563,0.485219,0.085344
raw_softmax,0.05,15,173903.993084,1039.568115,0.504109,0.464658,0.039451
raw_softmax,0.05,16,160460.718153,1910.746826,0.3582,0.3228,0.0354
raw_softmax,0.05,17,152901.918252,3874.954834,0.611293,0.671478,-0.060185
raw_softmax,0.1,1,101166.170647,1252.976807,0.58915,0.252615,0.336535
raw_softmax,0.1,2,131406.670252,1077.646729,0.557261,0.324005,0.233256
raw_softmax,0.1,3,203355.206051,1238.622925,0.44633,0.423483,0.022847
raw_softmax,0.1,4,233848.033403,1082.565918,0.350321,0.286999,0.063322
raw_softmax,0.1,5,106484.95724,1308.011353,0.474692,0.248805,0.225887
raw_softmax,0.1,6,142951.493587,1139.354858,0.592714,0.490501,0.102213
raw_softmax,0.1,7,156528.928731,1205.553711,0.56088,0.497171,0.063709
raw_softmax,0.1,8,121334.389167,1250.241943,0.505634,0.268977,0.236657
raw_softmax,0.1,9,183137.505503,1617.563721,0.379599,0.234052,0.145547
raw_softmax,0.1,10,94831.22374,949.875977,0.573479,0.432173,0.141306
raw_softmax,0.1,11,145418.503387,1380.407715,0.515379,0.446761,0.068618
raw_softmax,0.1,12,148759.720861,1314.852539,0.541138,0.424109,0.117029
raw_softmax,0.1,13,160485.360538,2534.477295,0.597334,0.528293,0.069041
raw_softmax,0.1,14,136910.824383,931.763916,0.607417,0.485219,0.122198
raw_softmax,0.1,15,165747.399036,1275.306885,0.563204,0.464658,0.098546
raw_softmax,0.1,16,145669.20632,1571.408203,0.426359,0.3228,0.103559
raw_softmax,0.1,17,165662.352813,3002.379395,0.581341,0.671478,-0.090137
raw_softmax,0.2,1,128765.388661,1378.30188,0.575481,0.252615,0.322866
raw_softmax,0.2,2,143577.714669,1298.517822,0.573042,0.324005,0.249037
raw_softmax,0.2,3,163919.135725,1211.059692,0.543237,0.423483,0.119754
raw_softmax,0.2,4,173169.434171,1128.589844,0.468796,0.286999,0.181797
raw_softmax,0.2,5,126488.704891,1250.453247,0.541775,0.248805,0.29297
raw_softmax,0.2,6,149503.520068,1313.947021,0.590801,0.490501,0.1003
raw_softmax,0.2,7,151585.353786,1330.924927,0.583438,0.497171,0.086267
raw_softmax,0.2,8,140388.722332,1404.613892,0.536904,0.268977,0.267927
raw_softmax,0.2,9,168371.755762,1562.778076,0.488484,0.234052,0.254432
raw_softmax,0.2,10,123214.505346,1222.716797,0.566123,0.432173,0.13395
raw_softmax,0.2,11,150354.557058,1476.196899,0.54354,0.446761,0.096779
raw_softmax,0.2,12,154255.732285,1442.956543,0.557042,0.424109,0.132933
raw_softmax,0.2,13,160827.847569,1991.487549,0.58641,0.528293,0.058117
raw_softmax,0.2,14,144477.871144,1137.210449,0.603403,0.485219,0.118184
raw_softmax,0.2,15,158233.98954,1396.021973,0.585291,0.464658,0.120633
raw_softmax,0.2,16,141681.965484,1368.51062,0.516656,0.3228,0.193856
raw_softmax,0.2,17,164881.832268,2210.10498,0.56878,0.671478,-0.102698
corpus_calibrated_softmax,0.03,1,34996.06691,730.746643,0.309098,0.252615,0.056483
corpus_calibrated_softmax,0.03,2,103436.429453,908.655151,0.347925,0.324005,0.02392
corpus_calibrated_softmax,0.03,3,458071.674019,1954.118652,0.444682,0.423483,0.021199
corpus_calibrated_softmax,0.03,4,302158.678727,1673.028687,0.323401,0.286999,0.036402
corpus_calibrated_softmax,0.03,5,100192.868617,1602.255859,0.305192,0.248805,0.056387
corpus_calibrated_softmax,0.03,6,99884.100816,932.374756,0.471568,0.490501,-0.018933
corpus_calibrated_softmax,0.03,7,223662.752607,1205.367065,0.517834,0.497171,0.020663
corpus_calibrated_softmax,0.03,8,58182.922285,858.451599,0.317533,0.268977,0.048556
corpus_calibrated_softmax,0.03,9,145163.42028,1913.145874,0.228958,0.234052,-0.005094
corpus_calibrated_softmax,0.03,10,87235.979628,473.174622,0.610384,0.432173,0.178211
corpus_calibrated_softmax,0.03,11,142280.497828,1317.432617,0.470552,0.446761,0.023791
corpus_calibrated_softmax,0.03,12,80759.845848,723.876526,0.425487,0.424109,0.001378
corpus_calibrated_softmax,0.03,13,72273.297069,2097.87085,0.465908,0.528293,-0.062385
corpus_calibrated_softmax,0.03,14,143316.0169,1046.639771,0.515204,0.485219,0.029985
corpus_calibrated_softmax,0.03,15,148847.615567,1004.533447,0.463696,0.464658,-0.000962
corpus_calibrated_softmax,0.03,16,263483.568563,4261.716309,0.465378,0.3228,0.142578
corpus_calibrated_softmax,0.03,17,79732.343239,1412.370483,0.440661,0.671478,-0.230817
corpus_calibrated_softmax,0.05,1,36362.60951,732.548523,0.317629,0.252615,0.065014
corpus_calibrated_softmax,0.05,2,103784.735597,908.625488,0.349155,0.324005,0.02515
corpus_calibrated_softmax,0.05,3,455447.250137,1952.800293,0.443499,0.423483,0.020016
corpus_calibrated_softmax,0.05,4,301924.983254,1674.316406,0.323596,0.286999,0.036597
corpus_calibrated_softmax,0.05,5,100980.76649,1605.698364,0.307005,0.248805,0.0582
corpus_calibrated_softmax,0.05,6,100429.571063,932.581421,0.472564,0.490501,-0.017937
corpus_calibrated_softmax,0.05,7,222886.793947,1208.173096,0.51739,0.497171,0.020219
corpus_calibrated_softmax,0.05,8,59112.009423,855.348633,0.3193,0.268977,0.050323
corpus_calibrated_softmax,0.05,9,145005.587683,1909.956787,0.229342,0.234052,-0.00471
corpus_calibrated_softmax,0.05,10,86947.233514,477.821594,0.60882,0.432173,0.176647
corpus_calibrated_softmax,0.05,11,142164.34025,1317.814819,0.470269,0.446761,0.023508
corpus_calibrated_softmax,0.05,12,81104.593824,727.526184,0.426234,0.424109,0.002125
corpus_calibrated_softmax,0.05,13,73029.696103,2090.909424,0.467637,0.528293,-0.060656
corpus_calibrated_softmax,0.05,14,143209.828812,1046.428345,0.514553,0.485219,0.029334
corpus_calibrated_softmax,0.05,15,149098.152444,1004.251343,0.463946,0.464658,-0.000712
corpus_calibrated_softmax,0.05,16,262215.335158,4255.285645,0.464286,0.3228,0.141486
corpus_calibrated_softmax,0.05,17,79946.462557,1414.113281,0.440975,0.671478,-0.230503
