variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.1,policy,4,57.896468,0.023573,0.001629,0.021944
raw_softmax,0.1,research,5,106484.95724,0.041862,0.021127,0.020735
raw_softmax,0.1,policy,5,97.675531,0.03977,0.007736,0.032034
raw_softmax,0.1,research,6,142951.493587,0.056198,0.035663,0.020535
raw_softmax,0.1,policy,6,85.527284,0.034824,0.004072,0.030752
raw_softmax,0.1,research,7,156528.928731,0.061536,0.078132,-0.016596
raw_softmax,0.1,policy,7,95.820544,0.039015,0.004072,0.034943
raw_softmax,0.1,research,8,121334.389167,0.0477,0.016471,0.031229
raw_softmax,0.1,policy,8,77.263341,0.031459,0.009772,0.021687
raw_softmax,0.1,research,9,183137.505503,0.071997,0.097248,-0.025251
raw_softmax,0.1,policy,9,111.073803,0.045225,0.02443,0.020795
raw_softmax,0.1,research,10,94831.22374,0.037281,0.00799,0.029291
raw_softmax,0.1,policy,10,76.129914,0.030998,0.000407,0.030591
raw_softmax,0.1,research,11,145418.503387,0.057168,0.053708,0.00346
raw_softmax,0.1,policy,11,91.995656,0.037458,0.02728,0.010178
raw_softmax,0.1,research,12,148759.720861,0.058482,0.035759,0.022723
raw_softmax,0.1,policy,12,101.160175,0.041189,0.004479,0.03671
raw_softmax,0.1,research,13,160485.360538,0.063091,0.043498,0.019593
raw_softmax,0.1,policy,13,401.697439,0.163558,0.250407,-0.086849
raw_softmax,0.1,research,14,136910.824383,0.053824,0.038983,0.014841
raw_softmax,0.1,policy,14,81.238342,0.033078,0.001629,0.031449
raw_softmax,0.1,research,15,165747.399036,0.06516,0.068973,-0.003813
raw_softmax,0.1,policy,15,122.268244,0.049783,0.006922,0.042861
raw_softmax,0.1,research,16,145669.20632,0.057267,0.074319,-0.017052
raw_softmax,0.1,policy,16,325.616546,0.13258,0.145358,-0.012778
raw_softmax,0.1,research,17,165662.352813,0.065127,0.065825,-0.000698
raw_softmax,0.1,policy,17,480.285828,0.195556,0.481678,-0.286122
raw_softmax,0.2,research,1,128765.388661,0.050621,0.00464,0.045981
raw_softmax,0.2,policy,1,127.710502,0.051999,0.017915,0.034084
raw_softmax,0.2,research,2,143577.714669,0.056444,0.032803,0.023641
raw_softmax,0.2,policy,2,119.505673,0.048659,0.008143,0.040516
raw_softmax,0.2,research,3,163919.135725,0.064441,0.185017,-0.120576
raw_softmax,0.2,policy,3,95.123129,0.038731,0.004072,0.034659
raw_softmax,0.2,research,4,173169.434171,0.068078,0.139844,-0.071766
raw_softmax,0.2,policy,4,89.82693,0.036574,0.001629,0.034945
raw_softmax,0.2,research,5,126488.704891,0.049726,0.021127,0.028599
raw_softmax,0.2,policy,5,114.393293,0.046577,0.007736,0.038841
raw_softmax,0.2,research,6,149503.520068,0.058774,0.035663,0.023111
raw_softmax,0.2,policy,6,121.893259,0.049631,0.004072,0.045559
raw_softmax,0.2,research,7,151585.353786,0.059593,0.078132,-0.018539
raw_softmax,0.2,policy,7,125.433083,0.051072,0.004072,0.047
raw_softmax,0.2,research,8,140388.722332,0.055191,0.016471,0.03872
raw_softmax,0.2,policy,8,114.065089,0.046443,0.009772,0.036671
raw_softmax,0.2,research,9,168371.755762,0.066192,0.097248,-0.031056
raw_softmax,0.2,policy,9,135.875459,0.055324,0.02443,0.030894
raw_softmax,0.2,research,10,123214.505346,0.048439,0.00799,0.040449
raw_softmax,0.2,policy,10,113.59013,0.04625,0.000407,0.045843
raw_softmax,0.2,research,11,150354.557058,0.059109,0.053708,0.005401
raw_softmax,0.2,policy,11,127.381786,0.051866,0.02728,0.024586
raw_softmax,0.2,research,12,154255.732285,0.060642,0.035759,0.024883
raw_softmax,0.2,policy,12,133.903791,0.054521,0.004479,0.050042
raw_softmax,0.2,research,13,160827.847569,0.063226,0.043498,0.019728
raw_softmax,0.2,policy,13,263.900093,0.107451,0.250407,-0.142956
raw_softmax,0.2,research,14,144477.871144,0.056798,0.038983,0.017815
raw_softmax,0.2,policy,14,113.598035,0.046253,0.001629,0.044624
raw_softmax,0.2,research,15,158233.98954,0.062206,0.068973,-0.006767
raw_softmax,0.2,policy,15,145.717558,0.059331,0.006922,0.052409
raw_softmax,0.2,research,16,141681.965484,0.055699,0.074319,-0.01862
raw_softmax,0.2,policy,16,218.339918,0.088901,0.145358,-0.056457
raw_softmax,0.2,research,17,164881.832268,0.06482,0.065825,-0.001005
raw_softmax,0.2,policy,17,295.742283,0.120416,0.481678,-0.361262
corpus_calibrated_softmax,0.03,research,1,34996.06691,0.013758,0.00464,0.009118
corpus_calibrated_softmax,0.03,policy,1,42.350953,0.017244,0.017915,-0.000671
corpus_calibrated_softmax,0.03,research,2,103436.429453,0.040664,0.032803,0.007861
corpus_calibrated_softmax,0.03,policy,2,61.54402,0.025059,0.008143,0.016916
corpus_calibrated_softmax,0.03,research,3,458071.674019,0.180081,0.185017,-0.004936
corpus_calibrated_softmax,0.03,policy,3,75.094747,0.030576,0.004072,0.026504
corpus_calibrated_softmax,0.03,research,4,302158.678727,0.118787,0.139844,-0.021057
corpus_calibrated_softmax,0.03,policy,4,64.765512,0.02637,0.001629,0.024741
corpus_calibrated_softmax,0.03,research,5,100192.868617,0.039389,0.021127,0.018262
corpus_calibrated_softmax,0.03,policy,5,106.929622,0.043538,0.007736,0.035802
corpus_calibrated_softmax,0.03,research,6,99884.100816,0.039267,0.035663,0.003604
corpus_calibrated_softmax,0.03,policy,6,46.32165,0.018861,0.004072,0.014789
corpus_calibrated_softmax,0.03,research,7,223662.752607,0.087928,0.078132,0.009796
corpus_calibrated_softmax,0.03,policy,7,69.060167,0.028119,0.004072,0.024047
corpus_calibrated_softmax,0.03,research,8,58182.922285,0.022873,0.016471,0.006402
corpus_calibrated_softmax,0.03,policy,8,22.421764,0.009129,0.009772,-0.000643
corpus_calibrated_softmax,0.03,research,9,145163.42028,0.057068,0.097248,-0.04018
corpus_calibrated_softmax,0.03,policy,9,74.898545,0.030496,0.02443,0.006066
corpus_calibrated_softmax,0.03,research,10,87235.979628,0.034295,0.00799,0.026305
corpus_calibrated_softmax,0.03,policy,10,23.127443,0.009417,0.000407,0.00901
corpus_calibrated_softmax,0.03,research,11,142280.497828,0.055935,0.053708,0.002227
corpus_calibrated_softmax,0.03,policy,11,35.897888,0.014616,0.02728,-0.012664
corpus_calibrated_softmax,0.03,research,12,80759.845848,0.031749,0.035759,-0.00401
corpus_calibrated_softmax,0.03,policy,12,23.972506,0.009761,0.004479,0.005282
corpus_calibrated_softmax,0.03,research,13,72273.297069,0.028413,0.043498,-0.015085
corpus_calibrated_softmax,0.03,policy,13,419.804039,0.17093,0.250407,-0.079477
corpus_calibrated_softmax,0.03,research,14,143316.0169,0.056342,0.038983,0.017359
corpus_calibrated_softmax,0.03,policy,14,84.534839,0.03442,0.001629,0.032791
corpus_calibrated_softmax,0.03,research,15,148847.615567,0.058516,0.068973,-0.010457
corpus_calibrated_softmax,0.03,policy,15,68.583108,0.027925,0.006922,0.021003
corpus_calibrated_softmax,0.03,research,16,263483.568563,0.103583,0.074319,0.029264
corpus_calibrated_softmax,0.03,policy,16,1001.256529,0.407678,0.145358,0.26232
corpus_calibrated_softmax,0.03,research,17,79732.343239,0.031345,0.065825,-0.03448
corpus_calibrated_softmax,0.03,policy,17,235.435355,0.095861,0.481678,-0.385817
corpus_calibrated_softmax,0.05,research,1,36362.60951,0.014295,0.00464,0.009655
corpus_calibrated_softmax,0.05,policy,1,42.387363,0.017259,0.017915,-0.000656
corpus_calibrated_softmax,0.05,research,2,103784.735597,0.040801,0.032803,0.007998
corpus_calibrated_softmax,0.05,policy,2,61.900409,0.025204,0.008143,0.017061
corpus_calibrated_softmax,0.05,research,3,455447.250137,0.179049,0.185017,-0.005968
corpus_calibrated_softmax,0.05,policy,3,75.182448,0.030612,0.004072,0.02654
corpus_calibrated_softmax,0.05,research,4,301924.983254,0.118695,0.139844,-0.021149
corpus_calibrated_softmax,0.05,policy,4,64.802027,0.026385,0.001629,0.024756
corpus_calibrated_softmax,0.05,research,5,100980.76649,0.039698,0.021127,0.018571
corpus_calibrated_softmax,0.05,policy,5,107.071866,0.043596,0.007736,0.03586
corpus_calibrated_softmax,0.05,research,6,100429.571063,0.039482,0.035663,0.003819
corpus_calibrated_softmax,0.05,policy,6,46.347053,0.018871,0.004072,0.014799
corpus_calibrated_softmax,0.05,research,7,222886.793947,0.087623,0.078132,0.009491
corpus_calibrated_softmax,0.05,policy,7,69.88813,0.028456,0.004072,0.024384
corpus_calibrated_softmax,0.05,research,8,59112.009423,0.023239,0.016471,0.006768
corpus_calibrated_softmax,0.05,policy,8,22.436384,0.009135,0.009772,-0.000637
corpus_calibrated_softmax,0.05,research,9,145005.587683,0.057006,0.097248,-0.040242
corpus_calibrated_softmax,0.05,policy,9,74.829523,0.030468,0.02443,0.006038
corpus_calibrated_softmax,0.05,research,10,86947.233514,0.034181,0.00799,0.026191
corpus_calibrated_softmax,0.05,policy,10,23.312159,0.009492,0.000407,0.009085
corpus_calibrated_softmax,0.05,research,11,142164.34025,0.055889,0.053708,0.002181
corpus_calibrated_softmax,0.05,policy,11,36.018238,0.014665,0.02728,-0.012615
corpus_calibrated_softmax,0.05,research,12,81104.593824,0.031885,0.035759,-0.003874
corpus_calibrated_softmax,0.05,policy,12,23.931069,0.009744,0.004479,0.005265
corpus_calibrated_softmax,0.05,research,13,73029.696103,0.02871,0.043498,-0.014788
corpus_calibrated_softmax,0.05,policy,13,417.785957,0.170108,0.250407,-0.080299
corpus_calibrated_softmax,0.05,research,14,143209.828812,0.0563,0.038983,0.017317
corpus_calibrated_softmax,0.05,policy,14,84.396145,0.034363,0.001629,0.032734
corpus_calibrated_softmax,0.05,research,15,149098.152444,0.058615,0.068973,-0.010358
corpus_calibrated_softmax,0.05,policy,15,68.565615,0.027918,0.006922,0.020996
corpus_calibrated_softmax,0.05,research,16,262215.335158,0.103084,0.074319,0.028765
corpus_calibrated_softmax,0.05,policy,16,999.942102,0.407143,0.145358,0.261785
corpus_calibrated_softmax,0.05,research,17,79946.462557,0.031429,0.065825,-0.034396
corpus_calibrated_softmax,0.05,policy,17,237.202508,0.096581,0.481678,-0.385097
corpus_calibrated_softmax,0.1,research,1,42245.966398,0.016608,0.00464,0.011968
corpus_calibrated_softmax,0.1,policy,1,42.488225,0.0173,0.017915,-0.000615
corpus_calibrated_softmax,0.1,research,2,105629.596976,0.041526,0.032803,0.008723
corpus_calibrated_softmax,0.1,policy,2,62.610396,0.025493,0.008143,0.01735
