k,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,mean_adjusted_gap,mean_delta_vs_raw,top_adjusted_sdgs
1,0.9765,0.99689,0.976543,0.974759,0.978333,0.360167,-0.016182,"17,7,11,3,14"
2,0.964333,0.993231,0.964428,0.96187,0.967,0.350344,-0.026006,"17,7,11,3,14"
3,0.951167,0.98953,0.951224,0.950116,0.952333,0.341561,-0.034788,"17,7,11,3,14"
5,0.921,0.974457,0.921053,0.920439,0.921667,0.32863,-0.047719,"17,7,11,3,14"
