fold,heldout_sdgs,train_sdgs,train_per_class,test_per_class,selected_C,val_roc_auc,val_f1,test_accuracy,test_roc_auc,test_f1,test_precision,test_recall,test_confusion_matrix
1,"1,6,11,16","2,3,4,5,7,8,9,10,12,13,14,15,17",43071,11011,10.0,0.999049,0.988367,0.984652,0.998491,0.984706,0.981243,0.988194,"[[10803, 208], [130, 10881]]"
2,"2,7,12,17","1,3,4,5,6,8,9,10,11,13,14,15,16",39212,14870,10.0,0.999225,0.987216,0.991896,0.999167,0.991925,0.988382,0.995494,"[[14696, 174], [67, 14803]]"
3,"3,8,13","1,2,4,5,6,7,9,10,11,12,14,15,16,17",43051,11031,10.0,0.999025,0.988839,0.979558,0.997577,0.979467,0.983812,0.975161,"[[10854, 177], [274, 10757]]"
4,"4,9,14","1,2,3,5,6,7,8,10,11,12,13,15,16,17",43180,10902,10.0,0.99913,0.990375,0.980875,0.998552,0.980643,0.99267,0.968905,"[[10824, 78], [339, 10563]]"
5,"5,10,15","1,2,3,4,6,7,8,9,11,12,13,14,16,17",47814,6268,10.0,0.99922,0.989204,0.98596,0.998753,0.986007,0.982726,0.989311,"[[6159, 109], [67, 6201]]"
